ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000196724	0.469986446264831	1.38509645543798	5.75314688333345	2.20221268000095	0.0394061950773569	0.112490843037718	-4.31824678476713
ENSG00000270379	0.178145001944187	1.1314281743622	3.77777035902626	2.20173800005449	0.0394444324644063	0.112574641026838	-4.31910968984405
ENSG00000186352	-0.407517347557523	-1.32640131988786	8.15854697242112	-2.2017093015553	0.039446745329229	0.112574641026838	-4.31916185630191
ENSG00000160791	-0.75654193791258	-1.68943628013326	9.02400003959896	-2.20137838728802	0.0394734232584732	0.112634792161061	-4.31976334328762
ENSG00000171222	0.280972553327757	1.21501367655602	9.46293171886757	2.20112672307564	0.0394937231569876	0.112665851743137	-4.32022074469497
ENSG00000133619	0.191856078694935	1.14223229361676	7.02632736786039	2.20110454390038	0.0394955126442801	0.112665851743137	-4.32026105398137
ENSG00000112280	0.146283290088443	1.10671464815595	4.14073070305228	2.20103485668646	0.0395011357144813	0.112665911268463	-4.32038770460841
ENSG00000229921	0.206940931471845	1.15423815836437	4.29713659439465	2.20085176817185	0.0395159126303122	0.112692075851986	-4.3207204409816
ENSG00000127452	-0.16656653568708	-1.12238414596619	9.00053370824736	-2.19949160416073	0.0396258482729022	0.112976206747801	-4.32319181476991
ENSG00000259831	0.167100493015875	1.1227996295867	3.75431548351961	2.19948009746448	0.0396267794937591	0.112976206747801	-4.32321271812372
ENSG00000221937	0.138971593988019	1.10111991733203	3.5260326272566	2.19893609256168	0.0396708278366804	0.113082855435914	-4.32420089565754
ENSG00000144191	0.391285967000356	1.3115619626178	3.82678362530186	2.19887925292095	0.0396754327460499	0.113082855435914	-4.32430413556637
ENSG00000006451	-0.380652440452964	-1.30193050381189	10.1586159676623	-2.19849768049681	0.0397063587679249	0.113144165506509	-4.32499715766907
ENSG00000119403	0.461652351403878	1.37711815996983	7.20198872134957	2.19847502672643	0.0397081955220995	0.113144165506509	-4.32503829976886
ENSG00000118308	-0.718080203983206	-1.64499158517131	7.35158973489335	-2.19790671310924	0.0397542994147277	0.113259486546195	-4.32607034495185
ENSG00000124257	0.23484540881522	1.17678063318828	4.81613303909059	2.19766902518448	0.0397735960920756	0.113298412324041	-4.32650193318544
ENSG00000177947	0.248312281608563	1.1878167496372	5.26235343688809	2.1975151351908	0.0397860941954728	0.11331796351298	-4.32678134801297
ENSG00000008438	-0.474327923820921	-1.38927088041691	6.4156433490619	-2.19737309156782	0.0397976333798808	0.113319052935812	-4.32703924312622
